SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg_K
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,419.0
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,414.0
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,432.9
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,419.15
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,414.0
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,419.0
C(C1C(C(C(C(O1)O)O)O)O)O,24,12,24,6,0,1,6,5,6,0,180.1560000000001,155.07200000000003,85.93584172942023,2.3157941312772974,0.1627095098712426,110.38,-3.2213999999999987,35.98599999999999,1.0,1.161757119273628,0.2134634098101127,-0.3935665160029449,8.673617379884035e-18,1,0,0,3.8764978331589024,468.1997760112523,-0.24,1.5817587586505184,432.0
O=C(O)C(O)C(O)C(=O)O,16,10,15,5,0,0,6,4,6,0,150.08600000000004,121.32800000000005,64.11056061340678,2.1249280714371057,0.1359907602038182,115.06000000000002,-2.1226,27.2852,0.5,1.2370269022814189,0.3354265875056694,-0.4792396497629858,-2.0816681711721685e-17,0,0,0,5.479551832081307,258.192325626572,-1.14,1.9973754023245796,430.0
C(C(CC(=O)O)C(=O)O)C(=O)O,20,12,19,5,0,0,6,3,6,0,176.12400000000005,149.89600000000004,78.93100393225612,2.5600638107695564,0.1908587255134735,111.9,-0.3634000000000002,35.63139999999999,0.5,1.1749746490900357,0.307179013017366,-0.4812110947808085,5.898059818321144e-18,0,0,0,6.217059286799666,393.6803849603488,-1.59,4.261190525625161,431.15
C(CC(=O)O)C(CC(=O)O)C(=O)O,23,13,22,6,0,0,6,3,6,0,190.15100000000007,166.54400000000004,88.10588704698834,2.860873679741801,0.2039887991224952,111.9,0.0266999999999996,40.2484,0.5714285714285714,1.1417463252954176,0.3065986742806504,-0.4812300977098762,-4.2236745502044e-18,0,0,0,6.571963627081275,505.9281632513781,-1.59,5.655505541597121,391.65
OCC(O)CO,14,6,13,5,0,0,3,3,3,0,92.09399999999997,88.83200000000002,47.35161128893503,1.7902660999255238,0.3096247206722139,60.69,-1.6681,20.1784,1.0,1.0367210014409216,0.2106847759799197,-0.3935933161206694,2.180795226942272e-17,0,0,0,5.176410154252893,178.27052566118746,-0.12,2.1377319587628865,291.0
