SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg
C(=O)Nc1ccc(I)cc1,10,10,10,2,1,0,3,1,1,0,247.035,73.26855,34.92,2.794035343,0.011310281,29.1,1.8595,48.8457,0.0,3.37163758,0.21101247,-0.32869679,7.7e-18,1,1,0,2.78284959,219.5526455,-0.58,1.982580224,407.7141047619048
Cc1ccc(CC)cc1,9,9,9,1,1,0,0,0,0,0,120.195,60.8355,0.0,2.277748151,0.01895044,0.0,2.55742,40.557,0.333333333,1.975737818,0.062570096,-0.061294135,2.15e-18,1,1,0,2.881555878,171.734728,-0.78,1.562760731,222.83983986111107
Cc1ccc(OC)cc1,9,9,9,1,1,0,1,0,1,0,122.167,56.5965,11.076,2.275437985,0.018625635,9.23,2.00362,37.731,0.25,2.158561004,0.118377385,-0.496768222,-1.46e-18,1,1,0,2.881555878,176.264053,-0.98,1.456737692,232.80575630952382
Clc1ccccc1,7,7,7,0,1,0,1,0,0,0,112.559,47.178,0.0,1.928719255,0.017135185,0.0,2.34,31.452,0.0,2.385836568,0.063840154,-0.084344477,-8.1e-18,1,1,0,3.02146531,134.1073697,-0.49,1.203610472,222.65601190476156
CCCc1ccc(C(=O)N)cc1,12,12,12,3,1,0,2,1,1,0,163.22,73.43235,51.708,2.987043824,0.018300722,43.09,1.738,48.9549,0.3,2.222726057,0.248195452,-0.365599509,-3.47e-18,1,1,0,2.780862289,263.6719978,-1.31,2.087500407,403.34778511904767
Clc1ccc(C#N)cc1,9,9,9,0,1,0,2,0,1,0,137.569,54.2505,28.548,2.465621401,0.017922798,23.79,2.21168,36.167,0.0,2.535810683,0.099110606,-0.192437038,1.07e-18,1,1,0,3.056038396,232.088218,-1.0,1.446280992,387.13274999999993
C(=O)Oc1ccc(N)cc1,10,10,10,2,1,0,3,1,3,0,137.138,56.3196,62.784,2.396199876,0.017472909,52.32,0.804,37.5464,0.0,2.434995944,0.297995983,-0.428761922,8.16e-19,1,1,0,2.78284959,217.5526455,-1.51,1.481662633,411.5343916666666
C(=O)Oc1ccc(CC)cc1,11,11,11,3,1,0,2,0,2,0,150.177,63.768,31.56,2.628352867,0.0175017,26.3,1.7842,42.512,0.222222222,2.355052654,0.297995966,-0.428764265,-5.45e-18,1,1,0,2.736673954,225.8229784,-1.31,2.075224642,367.77676163419915
Brc1ccc(Br)cc1,8,8,8,0,1,0,2,0,0,0,235.906,62.763,0.0,2.850477847,0.012083109,0.0,3.2116,41.842,0.0,3.758679417,0.063499408,-0.05083833,-1.16e-18,1,1,0,3.032455532,145.3883389,0.18,1.600119577,322.81915392857127
OCc1ccc(F)cc1,9,9,9,1,1,0,2,1,1,0,126.13,48.4842,24.276,2.25140928,0.017849911,20.23,1.318,32.3228,0.142857143,2.601465991,0.210528197,-0.39168044,9.11e-18,1,1,0,2.881555878,180.6125685,-0.89,1.504122761,331.76417619047606
