NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAliphaticRings,NumAromaticRings,NumHeteroatoms,HBD,HBA,FormalCharge,Atom_Density,HeavyAtom_Ratio,Flexibility_Index,Ring_Complexity,Aromatic_Ratio,Heteroatom_Ratio,Hbond_Balance,Charge_Density,Structural_Complexity,Connectivity_Index
107,17,187,29,0,4,5,8,9,0,0.572192510309131,0.15887850318805138,0.15508021307443737,0.03738317722071797,4.0,0.046728971525897466,0.8,0.0,216,1.7476635350685652
184,59,20,17,9,8,19,7,1,3,9.199999540000023,0.3206521721703686,0.8499999575000021,0.09239130384569944,0.8,0.10326086900401701,3.5,0.016304347737476372,37,0.1086956515831758
97,77,200,25,4,0,13,3,6,2,0.484999997575,0.7938144248060369,0.124999999375,0.04123711297693698,0.0,0.13402061717504518,0.42857142857142855,0.02061855648846849,225,2.061855648846849
19,36,15,19,0,2,40,4,0,-2,1.2666665822222278,1.8947367423822765,1.2666665822222278,0.10526315235457093,2.0,2.1052630470914186,4.0,-0.10526315235457093,34,0.7894736426592819
111,105,169,37,8,2,48,2,4,3,0.6568047298413922,0.9459459374239105,0.21893490994713072,0.09009008927846766,0.2222222222222222,0.4324324285366448,0.4,0.0270270267835403,206,1.5225225088061036
76,77,149,40,9,3,43,9,7,-2,0.5100671106706905,1.0131578814058173,0.26845637403720557,0.15789473476454297,0.3,0.5657894662396123,1.125,-0.026315789127423828,189,1.960526289993075
193,31,29,30,7,6,0,9,9,3,6.655172184304408,0.160621760825794,1.0344827229488716,0.06735751260436522,0.75,0.0,0.9,0.015544041370238128,59,0.15025906657896856
25,18,226,7,6,6,19,1,4,-1,0.110619468537082,0.7199999712000011,0.03097345119038296,0.4799999808000007,0.8571428571428571,0.7599999696000012,0.2,-0.03999999840000006,233,9.039999638400014
107,79,40,22,1,9,21,2,4,1,2.674999933125002,0.7383177501091799,0.5499999862500004,0.09345794305179493,4.5,0.19626168040876935,0.4,0.009345794305179492,62,0.3738317722071797
126,39,73,49,1,4,39,6,8,3,1.7260273736160634,0.3095238070672714,0.671232867517358,0.03968253936759889,2.0,0.3095238070672714,0.6666666666666666,0.023809523620559336,122,0.5793650747669439
79,83,172,24,3,8,30,7,10,-1,0.459302322911033,1.0506328980932544,0.1395348829096809,0.13924050456657588,2.0,0.3797468306361161,0.6363636363636364,-0.012658227687870536,196,2.177215162313732
92,126,82,46,8,6,30,1,14,-3,1.1219512058298633,1.369565202504726,0.5609756029149316,0.15217391138941402,0.6666666666666666,0.3260869529773157,0.06666666666666667,-0.032608695297731576,128,0.8913043381379964
121,21,173,0,8,1,27,8,10,1,0.6994219612750175,0.17355371757393623,0.0,0.0743801646745441,0.1111111111111111,0.22314049402363229,0.7272727272727273,0.00826446274161601,173,1.4297520542995699
104,104,244,45,7,2,11,3,4,-2,0.42622950644987906,0.9999999903846155,0.1844262287523515,0.08653846070636095,0.25,0.10576922975221895,0.6,-0.01923076904585799,289,2.346153823594675
108,138,93,17,4,6,15,1,14,1,1.1612903100936527,1.2777777659465022,0.18279569695918607,0.09259259173525378,1.2,0.13888888760288068,0.06666666666666667,0.009259259173525379,110,0.8611111031378602
156,79,246,18,6,4,32,6,0,1,0.634146338885584,0.5064102531640369,0.07317073140987508,0.06410256369165024,0.5714285714285714,0.20512820381328076,6.0,0.006410256369165024,264,1.5769230668145957
135,43,207,41,8,6,34,1,2,-2,0.6521739098928797,0.31851851615912213,0.19806763189339308,0.10370370293552812,0.6666666666666666,0.25185184998628257,0.3333333333333333,-0.014814814705075447,248,1.5333333219753087
154,63,44,5,2,8,43,6,13,-3,3.4999999204545476,0.40909090643447465,0.11363636105371908,0.06493506451340868,2.6666666666666665,0.2792207774076573,0.42857142857142855,-0.0194805193540226,49,0.28571428385899816
57,28,178,16,3,8,3,7,4,3,0.32022471730210833,0.49122806155740245,0.08988763994445147,0.1929824527546938,2.0,0.052631578024007405,1.4,0.052631578024007405,194,3.122806962757773
6,73,145,45,1,2,9,8,7,-3,0.041379310059453035,12.166664638889227,0.31034482544589775,0.49999991666668053,1.0,1.4999997500000417,1.0,-0.49999991666668053,190,24.16666263888956
92,105,132,44,8,7,33,0,9,2,0.6969696916896235,1.1413043354206052,0.3333333308080808,0.16304347648865786,0.7777777777777778,0.3586956482750473,0.0,0.021739130198487715,176,1.4347825931001892
162,72,20,7,6,5,40,1,1,0,8.09999959500002,0.44444444170096026,0.34999998250000086,0.06790123414875782,0.7142857142857143,0.24691357872275568,0.5,0.0,27,0.12345678936137784
42,109,228,41,5,3,2,1,13,3,0.18421052550784858,2.5952380334467136,0.17982456061480456,0.1904761859410432,0.5,0.0476190464852608,0.07142857142857142,0.0714285697278912,269,5.4285712993197315
134,109,186,8,4,3,30,6,3,2,0.7204301036536016,0.8134328297505012,0.043010752456931436,0.05223880558030742,0.6,0.22388059534417468,1.5,0.014925373022944978,194,1.388059691133883
196,105,224,36,6,3,30,5,11,0,0.87499999609375,0.5357142829810496,0.16071428499681123,0.045918367112661396,0.42857142857142855,0.15306122370887132,0.4166666666666667,0.0,260,1.142857137026239
192,21,56,26,2,6,0,8,3,-3,3.4285713673469402,0.10937499943033854,0.4642857059948981,0.04166666644965278,2.0,0.0,2.0,-0.015624999918619792,82,0.29166666514756945
25,70,121,35,4,5,4,2,2,3,0.20661156854040028,2.7999998880000043,0.2892561959565604,0.35999998560000057,1.0,0.15999999360000025,0.6666666666666666,0.11999999520000018,156,4.839999806400008
165,72,112,5,1,1,4,7,14,-3,1.4732142725605868,0.43636363371900827,0.04464285674426021,0.01212121204775023,0.5,0.02424242409550046,0.4666666666666667,-0.018181818071625347,117,0.6787878746740129
62,115,162,5,4,4,1,4,5,0,0.38271604702027134,1.8548386797606666,0.03086419734034446,0.12903225598335072,0.8,0.01612903199791884,0.6666666666666666,0.0,167,2.612903183662852
26,59,193,44,6,4,14,4,9,2,0.13471502520873044,2.269230681952666,0.2279792734301592,0.3846153698224858,0.5714285714285714,0.5384615177514801,0.4,0.07692307396449716,237,7.423076637573975
93,63,139,3,9,5,0,9,1,0,0.6690647433880235,0.6774193475546307,0.021582733657678176,0.15053763278991794,0.5,0.0,4.5,0.0,142,1.4946236398427566
53,94,161,21,6,6,20,4,2,2,0.32919254453917673,1.773584872196512,0.13043478179854173,0.22641509006763982,0.8571428571428571,0.3773584834460664,1.3333333333333333,0.03773584834460664,182,3.0377357917408343
63,32,80,39,8,7,36,7,1,-3,0.7874999901562502,0.5079364998740238,0.4874999939062501,0.23809523431594867,0.7777777777777778,0.5714285623582768,3.5,-0.04761904686318973,119,1.2698412496850595
174,129,83,26,2,9,6,6,9,-2,2.096385516911018,0.741379306084027,0.31325300827406016,0.06321839044127361,3.0,0.03448275842251288,0.6,-0.011494252807504294,109,0.47701149151142824
192,117,197,36,7,7,10,6,12,-3,0.9746192843927955,0.6093749968261719,0.18274111582364916,0.07291666628689236,0.875,0.05208333306206597,0.46153846153846156,-0.015624999918619792,233,1.0260416613226997
19,8,48,1,4,4,25,3,7,2,0.39583332508680574,0.4210526094182837,0.020833332899305567,0.4210526094182837,0.8,1.3157894044321365,0.375,0.10526315235457093,49,2.526315656509702
194,20,21,8,6,1,41,5,1,-2,9.238094798185962,0.10309278297374855,0.38095236281179223,0.03608247404081199,0.14285714285714285,0.2113402050961845,2.5,-0.010309278297374854,29,0.10824742212243597
194,12,102,10,0,9,1,0,4,-2,1.9019607656670514,0.061855669784249126,0.09803921472510574,0.04639175233818684,9.0,0.005154639148687427,0.0,-0.010309278297374854,112,0.5257731931661176
179,94,176,19,0,7,29,5,3,-2,1.0170454487667873,0.5251396618707281,0.10795454484116736,0.039106145032926566,7.0,0.1620111722792672,1.25,-0.011173184295121876,195,0.983240217970725
194,141,150,42,3,5,13,4,0,3,1.2933333247111112,0.7268041199649272,0.27999999813333337,0.041237113189499415,1.25,0.06701030893293655,4.0,0.015463917446062281,192,0.773195872303114
55,79,208,38,4,2,4,0,12,0,0.26442307565181217,1.4363636102479345,0.1826923068139793,0.10909090710743806,0.4,0.0727272714049587,0.0,0.0,246,3.7818181130578528
112,103,246,13,9,3,30,0,6,-1,0.45528455099477827,0.9196428489317603,0.05284552824046533,0.1071428561862245,0.3,0.26785714046556125,0.0,-0.008928571348852042,259,2.1964285518176023
59,86,71,25,2,0,47,2,5,-3,0.830985903788931,1.4576270939385239,0.35211267109700467,0.03389830451019823,0.0,0.7966101559896585,0.3333333333333333,-0.050847456765297346,96,1.2033898101120373
68,54,86,37,5,2,31,3,9,1,0.7906976652244457,0.7941176353806231,0.4302325531368308,0.10294117495674743,0.3333333333333333,0.45588234623702434,0.3,0.014705882136678205,123,1.2647058637543256
135,33,53,29,2,3,33,0,11,1,2.547169763260948,0.24444444263374487,0.5471698009967962,0.037037036762688616,1.0,0.24444444263374487,0.0,0.007407407352537723,82,0.39259258968449934
55,147,28,35,4,1,9,9,0,-3,1.9642856441326555,2.6727272241322324,1.2499999553571444,0.09090908925619838,0.2,0.16363636066115708,9.0,-0.05454545355371903,63,0.5090908998347109
139,112,169,37,0,5,30,6,8,-2,0.8224852022338154,0.8057553898866519,0.21893490994713072,0.03597122276279696,5.0,0.21582733657678174,0.6666666666666666,-0.014388489105118784,206,1.2158273293825372
25,95,246,34,2,7,26,1,11,0,0.10162601584704872,3.799999848000006,0.13821138155198626,0.35999998560000057,2.3333333333333335,1.0399999584000017,0.08333333333333333,0.0,280,9.839999606400015
77,55,124,5,6,5,17,3,3,2,0.6209677369276796,0.7142857050092766,0.04032258031997919,0.14285714100185531,0.7142857142857143,0.2207792179119582,0.75,0.025974025636700968,129,1.6103895894754598
171,147,226,2,2,9,4,8,0,0,0.7566371647936408,0.8596491177798298,0.00884955748296656,0.06432748500393284,3.0,0.02339181272870285,8.0,0.0,228,1.321637419171711
22,88,167,0,4,2,16,7,7,-2,0.1317365261572663,3.999999818181826,0.0,0.27272726033057904,0.4,0.7272726942148775,0.875,-0.09090908677685969,167,7.590908745867784
136,4,71,17,6,8,10,1,0,-3,1.9154929307677053,0.02941176448961938,0.23943661634596317,0.10294117571366783,1.1428571428571428,0.07352941122404845,1.0,-0.022058823367214535,88,0.522058819690744
93,88,59,22,1,3,4,8,1,3,1.5762711597242176,0.9462365489651984,0.37288134961218056,0.04301075222569084,1.5,0.04301075222569084,4.0,0.03225806416926813,81,0.6344085953289399
64,135,42,31,2,5,37,0,13,1,1.5238094875283457,2.109374967041016,0.7380952205215424,0.10937499829101566,1.6666666666666667,0.578124990966797,0.0,0.015624999755859379,73,0.6562499897460939
18,6,66,28,3,3,47,5,4,0,0.27272726859504137,0.3333333148148158,0.42424241781450883,0.3333333148148158,0.75,2.6111109660493907,1.0,0.0,94,3.666666462962974
13,8,131,22,4,3,36,2,12,3,0.09923664046384244,0.615384568047341,0.16793893001573337,0.5384614970414233,0.6,2.769230556213034,0.15384615384615385,0.23076921301775286,153,10.076922301775209
94,120,138,35,8,1,20,0,0,3,0.6811594153539173,1.2765957311000455,0.2536231865679479,0.09574467983250341,0.1111111111111111,0.2127659551833409,0.0,0.03191489327750113,173,1.4680850907650522
57,91,125,5,8,9,23,7,0,-2,0.45599999635200006,1.5964912000615579,0.03999999968,0.2982456088027086,1.0,0.40350876485072346,7.0,-0.035087718682671604,130,2.1929824176669754
134,16,189,16,3,1,29,5,14,0,0.7089947052434142,0.11940298418355982,0.08465608420816886,0.029850746045889956,0.25,0.21641790883270218,0.3333333333333333,0.0,205,1.4104477506683004
88,58,211,17,8,1,15,3,5,-2,0.4170616093978123,0.6590909016012397,0.08056871999730464,0.10227272611053721,0.1111111111111111,0.170454543517562,0.5,-0.02272727246900827,228,2.397727245480372
96,83,62,30,3,1,48,2,13,0,1.5483870718002086,0.864583324327257,0.4838709599375652,0.04166666623263889,0.25,0.49999999479166674,0.14285714285714285,0.0,92,0.6458333266059029
115,48,51,5,1,7,40,9,10,1,2.254901916570551,0.4173913007183365,0.09803921376393698,0.06956521678638942,3.5,0.3478260839319471,0.8181818181818182,0.008695652098298678,56,0.44347825701323257
192,146,136,33,9,9,21,1,0,0,1.4117646955017302,0.7604166627061633,0.24264705703935988,0.09374999951171875,0.9,0.10937499943033854,1.0,0.0,169,0.7083333296440972
176,18,242,43,0,3,1,4,4,-3,0.7272727242674681,0.10227272669163223,0.17768594967898368,0.017045454448605373,3.0,0.005681818149535124,0.8,-0.017045454448605373,285,1.3749999921875
12,122,218,43,6,3,18,7,9,3,0.055045871307129034,10.166665819444516,0.19724770551721235,0.7499999375000053,0.42857142857142855,1.4999998750000105,0.7,0.2499999791666684,261,18.166665152777906
179,86,39,26,3,9,48,7,10,-1,4.58974347205786,0.48044692469024064,0.6666666495726501,0.06703910577073126,2.25,0.26815642308292503,0.6363636363636364,-0.005586592147560938,65,0.21787709375487657
39,10,227,35,7,9,36,2,4,-2,0.1718061666440257,0.25641024983563465,0.15418502134720255,0.41025639973701544,1.125,0.9230768994082847,0.4,-0.05128204996712693,262,5.820512671268906
85,90,91,47,7,2,1,8,1,3,0.9340659238014734,1.0588235169550175,0.5164835108078735,0.10588235169550175,0.25,0.011764705743944639,4.0,0.03529411723183391,138,1.070588222698962
168,133,28,41,7,4,10,9,13,-1,5.9999997857142935,0.7916666619543651,1.4642856619897977,0.06547619008645125,0.5,0.05952380916950114,0.6428571428571429,-0.005952380916950114,69,0.16666666567460317
54,21,176,24,5,3,32,4,13,1,0.3068181800748967,0.38888888168724295,0.13636363558884299,0.14814814540466398,0.5,0.5925925816186559,0.2857142857142857,0.018518518175582997,200,3.2592591989026074
108,99,223,9,8,6,8,6,10,1,0.48430493056365503,0.9166666581790125,0.04035874421363792,0.1296296284293553,0.6666666666666666,0.07407407338820303,0.5454545454545454,0.009259259173525379,232,2.0648147956961593
136,68,22,38,3,9,24,8,2,3,6.181817900826458,0.4999999963235294,1.727272648760334,0.08823529346885814,2.25,0.17647058693771628,2.6666666666666665,0.022058823367214535,60,0.16176470469290657
6,81,138,45,4,6,5,6,2,3,0.043478260554505356,13.499997750000375,0.3260869541587902,1.666666388888935,1.2,0.8333331944444675,2.0,0.49999991666668053,183,22.999996166667305
138,88,239,38,3,5,10,9,2,-1,0.5774058553246617,0.6376811547994119,0.15899581523432713,0.05797101407267381,1.25,0.07246376759084226,3.0,-0.007246376759084227,277,1.7318840454211302
58,126,189,11,4,6,26,2,2,1,0.3068783052546121,2.172413755648039,0.058201057893116095,0.17241379013079672,1.2,0.4482758543400715,0.6666666666666666,0.017241379013079674,200,3.258620633472058
110,48,236,10,1,6,7,1,10,1,0.46610169294024706,0.43636363239669423,0.042372881176386094,0.06363636305785125,3.0,0.06363636305785125,0.09090909090909091,0.009090909008264463,246,2.1454545259504134
8,115,212,48,4,7,44,6,3,2,0.03773584887860449,14.374998203125227,0.22641509327162693,1.3749998281250215,1.4,5.499999312500086,1.5,0.24999996875000394,260,26.499996687500417
58,93,69,42,9,0,30,9,13,-2,0.8405796979626131,1.6034482482164096,0.608695643352237,0.15517241111771707,0.0,0.5172413703923902,0.6428571428571429,-0.03448275802615935,111,1.1896551519024974
