material,smiles,Molecular_Volume,Radius_of_Gyration,Surface_Area,Shape_Factor,Molecular_Weight,Repeat_Unit_MW,TPSA,LogP,Molar_Refractivity,Partial_Charges
material_001,C=CNCl,19.1857,4.38014839931252,12.03,1.59482114756266,77.514,77.514,12.03,0.8733,19.1857,1.04083408558608E-17
material_002,ClCCl,16.573,4.0709949643791,0,16573000,84.933,84.933,0,1.4215,16.573,1.38777878078145E-17
material_003,N=CCl,14.6367,3.82579403522981,23.85,0.613698087475971,63.487,63.487,23.85,0.83227,14.6367,1.38777878078145E-17
material_004,CCBr,19.468,4.41225565895722,0,19468000,108.966,108.966,0,1.4012,19.468,-1.73472347597681E-18
material_005,N=NO,6.9342,2.63328691942219,56.44,0.122859671813259,46.029,46.029,56.44,0.40657,6.9342,0
material_006,ONCOBr,19.8012,4.44985393018692,41.49,0.477252338461019,141.952,141.952,41.49,0.2492,19.8012,3.08395284618099E-18
material_007,N=O,6.0867,2.46712383150907,40.92,0.148746330675798,31.014,31.014,40.92,0.33157,6.0867,-9.25185853854297E-18
material_008,NOBr,14.1994,3.7682091237085,35.25,0.402819846728515,111.926,111.926,35.25,0.1866,14.1994,0
material_009,O=CO,8.6928,2.94835547381926,37.3,0.233050932089787,46.025,46.025,37.3,-0.2992,8.6928,3.33066907387547E-17
material_010,OCBr,16.0128,4.00159968012794,20.23,0.791537281683772,110.938,110.938,20.23,0.3311,16.0128,2.77555756156289E-17
material_011,ONCOCl,16.7272,4.08988997407021,41.49,0.403162198043813,97.501,97.501,41.49,0.0931000000000001,16.7272,6.16790569236198E-18
material_012,CNCO,16.1455,4.01814633879853,32.26,0.500480455657767,61.084,61.084,32.26,-0.8444,16.1455,1.26161707343768E-17
material_013,NN,8.3748,2.89392467075423,52.04,0.160930050712336,32.046,32.046,52.04,-1.1812,8.3748,9.25185853854297E-18
material_014,NCCl,14.9074,3.86101023049668,26.02,0.57292080811219,65.503,65.503,26.02,0.1414,14.9074,-1.38777878078145E-17
material_015,COBr,15.936,3.99199198395989,9.23,1.72654369159873,110.938,110.938,9.23,0.9427,15.936,2.31296463463574E-18
material_016,NN=NO,10.8299,3.29088134091766,70.97,0.152598278813608,61.044,61.044,70.97,-0.2985,10.8299,-7.93016446160826E-18
material_017,O=NOO,9.5088,3.08363421955329,58.89,0.161467139387551,63.012,63.012,58.89,0.1574,9.5088,-1.11022302462516E-17
material_018,CCl,11.777,3.43176339510754,0,11777000,50.488,50.488,0,0.855,11.777,2.77555756156289E-18
material_019,C=C=NBr,21.989,4.68924300927133,12.36,1.77904516350767,119.949,119.949,12.36,1.152,21.989,0
material_020,N=NBr,14.0747,3.7516263140137,36.21,0.388696481947073,108.926,108.926,36.21,1.32727,14.0747,-1.38777878078145E-17
material_021,CO,8.1428,2.85355918109297,20.23,0.402511102199155,32.042,32.042,20.23,-0.3915,8.1428,-9.25185853854297E-18
material_022,OOBr,12.6408,3.55539027393618,29.46,0.429083488490038,112.91,112.91,29.46,0.7859,12.6408,0
material_023,C=CNBr,22.2597,4.71801865193431,12.03,1.85034897337083,121.965,121.965,12.03,1.0294,22.2597,-3.46944695195361E-18
material_024,N=CNON,17.1918,4.14629955502494,71.13,0.241695483738289,75.071,75.071,71.13,-1.01163,17.1918,0
material_025,OCl,8.0718,2.84109133960878,20.23,0.399001463222864,52.46,52.46,20.23,0.1325,8.0718,1.85037170770859E-17
material_026,CNBr,17.9867,4.24107297744333,12.03,1.49515365792572,109.954,109.954,12.03,0.5157,17.9867,-1.18952466924124E-17
material_027,[O-][Cl+]O,2.2188,1.48956369450924,43.29,0.0512543300703551,68.459,68.459,43.29,-1.746,2.2188,-4.16333634234434E-17
material_028,C=NBr,18.476,4.29837178475757,12.36,1.49482188553221,107.938,107.938,12.36,0.9969,18.476,-1.11022302462516E-17
material_029,ONOCCl,16.7272,4.08988997407021,41.49,0.403162198043813,97.501,97.501,41.49,0.0931000000000001,16.7272,-2.15876699232669E-17
